Media,Treatment,Plate,Seedling,Total_biomass_g,Shoot_biomass_g,Root_biomass_g,Total_biomass_mg,Shoot_biomass_mg,Root_biomass_mg,Primary_root_length_pixel,Total_root_length_pixel,Primary_root_length_mm,Total_root_length_mm,Number_lateral_roots
75mM,WCS417,3,5,0.0139,0.0092,0.0047,13.9,9.2,4.7,509.8,1340.34,51.80894309,136.2134146,13
75mM,WCS417,3,6,0.0108,0.0063,0.0045,10.8,6.3,4.5,535.9,1584.07,54.46138211,160.9827236,15
75mM,WCS417,3,7,0.0127,0.0084,0.0043,12.7,8.4,4.3,542.54,1958.42,55.13617886,199.0264228,20
75mM,WCS417,3,8,0.0125,0.0081,0.0044,12.5,8.1,4.4,552.6,1276.44,56.15853659,129.7195122,11
150mM,control,1,1,0.0024,0.0018,0.0006,2.4,1.8,0.6,533.73,563.3,54.24085366,57.24593496,2
150mM,control,1,2,0.0061,0.0048,0.0013,6.1,4.8,1.3,494.99,509.55,50.30386179,51.78353659,2
150mM,control,1,3,0.0055,0.0035,0.002,5.5,3.5,2,478.55,618.37,48.63313008,62.84247967,6
150mM,control,1,4,0.0037,0.0026,0.0011,3.7,2.6,1.1,492.74,683.7,50.07520325,69.48170732,8
150mM,control,1,5,0.0044,0.0031,0.0013,4.4,3.1,1.3,479.19,603,48.69817073,61.2804878,5
150mM,control,1,6,0.0044,0.0032,0.0012,4.4,3.2,1.2,462.31,759.1,46.98272358,77.14430894,9
150mM,control,1,7,0.0034,0.0032,0.0002,3.4,3.2,0.2,615.24,713.26,62.52439024,72.48577236,7
150mM,control,1,8,0.0041,0.0033,0.0008,4.1,3.3,0.8,384.54,395.26,39.07926829,40.16869919,3
150mM,control,2,1,0.0043,0.003,0.0013,4.3,3,1.3,456.06,492.05,46.34756098,50.0050813,2
150mM,control,2,2,0.0034,0.0022,0.0012,3.4,2.2,1.2,609.05,734.9,61.8953252,74.68495935,6
150mM,control,2,3,0.0038,0.003,0.0008,3.8,3,0.8,576.46,681.3,58.58333333,69.23780488,3
150mM,control,2,4,0.0027,0.0018,0.0009,2.7,1.8,0.9,576.43,647.01,58.58028455,65.75304878,2
150mM,control,2,5,0.0045,0.0031,0.0014,4.5,3.1,1.4,511.64,568.36,51.99593496,57.7601626,6
150mM,control,2,6,0.0052,0.0031,0.0021,5.2,3.1,2.1,527.31,569.49,53.58841463,57.875,1
150mM,control,2,7,0.0047,0.0038,0.0009,4.7,3.8,0.9,447.67,578.7,45.4949187,58.81097561,6
150mM,control,2,8,0.0031,0.002,0.0011,3.1,2,1.1,568.03,632.22,57.72662602,64.25,4
150mM,control,3,1,0.0064,0.0048,0.0016,6.4,4.8,1.6,518.11,800.61,52.65345528,81.36280488,9
150mM,control,3,2,0.0057,0.004,0.0017,5.7,4,1.7,588.05,647.16,59.76117886,65.76829268,5
150mM,control,3,3,0.0058,0.0046,0.0012,5.8,4.6,1.2,571.72,727.28,58.10162602,73.91056911,7
150mM,control,3,4,0.0056,0.0039,0.0017,5.6,3.9,1.7,420.91,459.15,42.7754065,46.66158537,3
150mM,control,3,5,0.0042,0.0029,0.0013,4.2,2.9,1.3,523.27,746.53,53.17784553,75.86686992,7
150mM,control,3,6,0.0057,0.0042,0.0015,5.7,4.2,1.5,520.9,778.97,52.93699187,79.16361789,11
150mM,control,3,7,0.0063,0.0045,0.0018,6.3,4.5,1.8,526.07,694.89,53.46239837,70.61890244,6
150mM,control,3,8,0.0037,0.003,0.0007,3.7,3,0.7,538.45,826.18,54.72052846,83.96138211,8
150mM,WCS417,1,1,0.014,0.0096,0.0044,14,9.6,4.4,341.26,558.53,34.68089431,56.76117886,6
150mM,WCS417,1,2,0.01,0.0061,0.0039,10,6.1,3.9,492.24,790.76,50.02439024,80.36178862,12
150mM,WCS417,1,3,0.0099,0.0071,0.0028,9.9,7.1,2.8,540.6,1265.92,54.93902439,128.6504065,16
150mM,WCS417,1,4,0.0074,0.0052,0.0022,7.4,5.2,2.2,523.28,1040.04,53.17886179,105.695122,13
150mM,WCS417,1,5,0.0097,0.0074,0.0023,9.7,7.4,2.3,536.16,953.75,54.48780488,96.92581301,14
150mM,WCS417,1,6,0.0115,0.0082,0.0033,11.5,8.2,3.3,460.23,811.15,46.77134146,82.43394309,10
150mM,WCS417,1,7,0.0087,0.0062,0.0025,8.7,6.2,2.5,414.88,564.74,42.16260163,57.39227642,7
150mM,WCS417,1,8,0.0111,0.0074,0.0037,11.1,7.4,3.7,507.45,1090.4,51.57012195,110.8130081,18
150mM,WCS417,2,1,0.0114,0.0079,0.0035,11.4,7.9,3.5,526.62,1232.45,53.51829268,125.2489837,14
150mM,WCS417,2,2,0.0107,0.007,0.0037,10.7,7,3.7,681.2,1162.15,69.22764228,118.1046748,14
150mM,WCS417,2,3,0.0104,0.0066,0.0038,10.4,6.6,3.8,519.01,1048.34,52.7449187,106.5386179,13
150mM,WCS417,2,4,0.0086,0.006,0.0026,8.6,6,2.6,490.96,1049.46,49.89430894,106.652439,14
150mM,WCS417,2,5,0.0093,0.0065,0.0028,9.3,6.5,2.8,532.32,1288.1,54.09756098,130.9044715,15
150mM,WCS417,2,6,0.0088,0.0061,0.0027,8.8,6.1,2.7,512.71,1223,52.1046748,124.2886179,16
150mM,WCS417,2,7,0.0074,0.0054,0.002,7.4,5.4,2,504.61,1075.89,51.28150407,109.3384146,16
150mM,WCS417,2,8,0.0109,0.0074,0.0035,10.9,7.4,3.5,455.64,1294.69,46.30487805,131.574187,14
150mM,WCS417,3,1,0.01,0.0075,0.0025,10,7.5,2.5,515.63,1131.18,52.40142276,114.9573171,12
150mM,WCS417,3,2,0.0041,0.0035,0.0006,4.1,3.5,0.6,494.66,970.54,50.2703252,98.63211382,12
150mM,WCS417,3,3,0.0095,0.007,0.0025,9.5,7,2.5,497.67,1338.37,50.57621951,136.0132114,15
150mM,WCS417,3,4,0.0095,0.0069,0.0026,9.5,6.9,2.6,497.21,1191.12,50.52947154,121.0487805,10
150mM,WCS417,3,5,0.0094,0.0064,0.003,9.4,6.4,3,504.77,1280.24,51.29776423,130.1056911,10
150mM,WCS417,3,6,0.0105,0.0075,0.003,10.5,7.5,3,418.83,1160.3,42.56402439,117.9166667,13
150mM,WCS417,3,7,0.0083,0.0053,0.003,8.3,5.3,3,505.18,1265.53,51.33943089,128.6107724,13
150mM,WCS417,3,8,0.005,0.0036,0.0014,5,3.6,1.4,516.83,1606.22,52.52337398,163.2337398,17
250mM,control,1,1,0.0017125,0.0013875,0.000325,1.7125,1.3875,0.325,322.68,333.03,32.79268293,33.8445122,2
250mM,control,1,2,0.0017125,0.0013875,0.000325,1.7125,1.3875,0.325,332.17,332.17,33.75711382,33.75711382,0
250mM,control,1,3,0.0017125,0.0013875,0.000325,1.7125,1.3875,0.325,337.6,347.99,34.30894309,35.3648374,2
250mM,control,1,4,0.0017125,0.0013875,0.000325,1.7125,1.3875,0.325,404.21,413.7,41.07825203,42.04268293,2
250mM,control,1,5,0.0017125,0.0013875,0.000325,1.7125,1.3875,0.325,372.3,413.14,37.83536585,41.98577236,2
250mM,control,1,6,0.0017125,0.0013875,0.000325,1.7125,1.3875,0.325,375.8,375.8,38.19105691,38.19105691,0
250mM,control,1,7,0.0017125,0.0013875,0.000325,1.7125,1.3875,0.325,325.3,339.26,33.05894309,34.47764228,1
250mM,control,1,8,0.0017125,0.0013875,0.000325,1.7125,1.3875,0.325,327.34,333.42,33.26626016,33.88414634,1
250mM,control,2,1,0.0024125,0.0021,0.0003125,2.4125,2.1,0.3125,296.44,312.12,30.12601626,31.7195122,2
